2026-06-03 22:29:52.257825 | INFO     | pid=175140 tid=5364 | component=ui role=main | PacsClient.utils.diagnostic_logging.configure_diagnostic_logging | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | Logging configured: role=main component_levels={'viewer': 'INFO', 'download': 'WARNING', 'zetaboost': 'INFO', 'db': 'INFO', 'ipc': 'INFO', 'ui': 'INFO', 'other': 'INFO'} logs_dir=E:\ai-pacs\ai-pacs codes\ai-pacs beta version\user_data\logs
2026-06-03 22:29:52.286447 | INFO     | pid=175140 tid=196664 | component=ui role=main | aipacs.resource._run | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | resource-summary cpu=0.0% rss=286.0MB io=n/a io_wait_ms=-1.00 pagefaults=-1 platform=Windows
2026-06-03 22:29:52.286646 | INFO     | pid=175140 tid=5364 | component=ui role=main | __main__.<module> | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | Application bootstrap started
2026-06-03 22:29:52.288409 | INFO     | pid=175140 tid=5364 | component=other role=main | __main__.<module> | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | [BACKEND_SWITCH] Startup: FAST backend=pydicom_2d  Advanced=vtk_simpleitk
2026-06-03 22:29:52.368073 | INFO     | pid=175140 tid=5364 | component=ui role=main | __main__.<module> | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | [SESSION_START] session_id=sess-a816f4796701 version=3.1.9 build_mode=dev frozen=False python=3.13.5 os=Windows-11-10.0.22631-SP0 pid=175140 crash_hook=installed
2026-06-03 22:29:52.388872 | INFO     | pid=175140 tid=5364 | component=db role=main | database._pool.log_stage_timing | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=database._get_pooled_connection stage=create_connection result=ok | stage-timing duration_ms=18.69 query_type=mixed
2026-06-03 22:29:52.413103 | INFO     | pid=175140 tid=5364 | component=db role=main | database._pool.log_stage_timing | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=database.get_db_connection stage=transaction_scope result=ok | stage-timing duration_ms=43.04 caller_area=other viewer_mode=Shared caller_module=PacsClient.utils.data_paths caller_function=_migrate_study_paths_in_db query_type=write thread_role=main
2026-06-03 22:29:52.456327 | WARNING  | pid=175140 tid=5364 | component=other role=main | __main__.<module> | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | [CPU_BUDGET] SetPriorityClass failed (err=6); using Windows default
2026-06-03 22:29:52.457694 | INFO     | pid=175140 tid=5364 | component=other role=main | __main__.<module> | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | [F8] MAIN_THREAD_STALL_PROBE armed: cadence=50ms threshold=100.0ms
2026-06-03 22:29:52.459292 | INFO     | pid=175140 tid=5364 | component=other role=main | __main__.<module> | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | [F11] MAIN_THREAD_STALL_TRACE armed: sample=50ms threshold=400.0ms cooldown=1000ms
2026-06-03 22:29:52.462680 | INFO     | pid=175140 tid=5364 | component=other role=main | PacsClient.utils.single_instance_lock.try_acquire | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | Acquired single-instance lock (PID 175140, server AIPACS_SI_53641f1cd5de8cd1)
2026-06-03 22:29:52.605969 | INFO     | pid=175140 tid=5364 | component=other role=main | modules.network.socket_config.get_socket_config | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | 🔧 Creating new SocketConfig
2026-06-03 22:29:52.607604 | INFO     | pid=175140 tid=5364 | component=other role=main | modules.network.socket_config._load_config | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | ✅ Loaded Socket config from E:\ai-pacs\ai-pacs codes\ai-pacs beta version\config\socket_config.json
2026-06-03 22:29:52.608382 | INFO     | pid=175140 tid=5364 | component=other role=main | modules.network.socket_config.__init__ | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | ✅ SocketConfig initialized with path: E:\ai-pacs\ai-pacs codes\ai-pacs beta version\config\socket_config.json
2026-06-03 22:29:52.608945 | INFO     | pid=175140 tid=5364 | component=other role=main | modules.network.socket_config.get_socket_config | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | ✅ SocketConfig created successfully
2026-06-03 22:29:53.672864 | WARNING  | pid=175140 tid=196892 | component=viewer role=main | aipacs.main_thread_probe._f11_sampler | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | [MAIN_THREAD_STALL_TRACE] gap_ms=1109.3 drag_active=False frames=4 stack=File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\main.py", line 1410, in <module> |     window = AppHandler(startup_import_folder=startup_import_folder) >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\app_handler.py", line 434, in __init__ |     self._update_license_info() >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\app_handler.py", line 804, in _update_license_info |     self.license_info_label.setVisible(True) >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\main.py", line 904, in notify |     def notify(self, receiver, event):
2026-06-03 22:29:53.793631 | INFO     | pid=175140 tid=5364 | component=viewer role=main | aipacs.main_thread_probe._probe_tick | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | [MAIN_THREAD_STALL] stall_start_ms=276124020.871 stall_duration_ms=1336.5 gap_ms=1336.5 threshold_ms=100.0 interaction_active=False active_viewer_state=unknown active_series_uid= active_series_number= nearest_dm_rebuild=none nearest_viewer_switch=none nearest_progressive=none nearest_fast_drag=none nearest_table_refresh=none corr_session=sess-a816f4796701 corr_mono_ms=276125357.403 stalls_total=1 max_gap_ms=1336.5 t_since_start_s=1.3
2026-06-03 22:29:54.306779 | INFO     | pid=175140 tid=196664 | component=ui role=main | aipacs.resource._run | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | resource-summary cpu=7.0% rss=401.4MB io=read=8657.3KB/s write=37.6KB/s io_wait_ms=-1.00 pagefaults=-1 platform=Windows
2026-06-03 22:29:55.885804 | INFO     | pid=175140 tid=5364 | component=viewer role=main | aipacs.main_thread_probe._probe_tick | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | [MAIN_THREAD_STALL] stall_start_ms=276127321.530 stall_duration_ms=127.8 gap_ms=127.8 threshold_ms=100.0 interaction_active=False active_viewer_state=unknown active_series_uid= active_series_number= nearest_dm_rebuild=none nearest_viewer_switch=none nearest_progressive=none nearest_fast_drag=none nearest_table_refresh=none corr_session=sess-a816f4796701 corr_mono_ms=276127449.496 stalls_total=2 max_gap_ms=1336.5 t_since_start_s=3.4
2026-06-03 22:29:56.328212 | INFO     | pid=175140 tid=196664 | component=ui role=main | aipacs.resource._run | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | resource-summary cpu=1.5% rss=408.3MB io=read=134.7KB/s write=5.7KB/s io_wait_ms=-1.00 pagefaults=-1 platform=Windows
2026-06-03 22:29:58.347239 | INFO     | pid=175140 tid=196664 | component=ui role=main | aipacs.resource._run | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | resource-summary cpu=0.8% rss=408.3MB io=read=0.0KB/s write=0.3KB/s io_wait_ms=-1.00 pagefaults=-1 platform=Windows
2026-06-03 22:30:00.366626 | INFO     | pid=175140 tid=196664 | component=ui role=main | aipacs.resource._run | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | resource-summary cpu=0.8% rss=408.3MB io=read=0.0KB/s write=0.3KB/s io_wait_ms=-1.00 pagefaults=-1 platform=Windows
2026-06-03 22:30:02.382015 | INFO     | pid=175140 tid=196664 | component=ui role=main | aipacs.resource._run | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | resource-summary cpu=0.8% rss=408.3MB io=read=0.0KB/s write=0.3KB/s io_wait_ms=-1.00 pagefaults=-1 platform=Windows
2026-06-03 22:30:04.398952 | INFO     | pid=175140 tid=196664 | component=ui role=main | aipacs.resource._run | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | resource-summary cpu=0.0% rss=408.3MB io=read=0.0KB/s write=0.3KB/s io_wait_ms=-1.00 pagefaults=-1 platform=Windows
2026-06-03 22:30:06.417018 | INFO     | pid=175140 tid=196664 | component=ui role=main | aipacs.resource._run | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | resource-summary cpu=0.0% rss=408.3MB io=read=0.0KB/s write=0.3KB/s io_wait_ms=-1.00 pagefaults=-1 platform=Windows
