wall,elapsed_s,cycle,rss_mb,threads,handles,children,cpu_pct
2026-05-31T12:23:27,0.3,0,473.8,42,1955,0,0.0
2026-05-31T12:23:29,2.7,0,473.8,42,1955,0,0.7
2026-05-31T12:23:32,4.9,0,473.8,42,1955,0,0.7
2026-05-31T12:23:34,7.3,0,473.8,42,1955,0,1.3
2026-05-31T12:23:36,9.6,0,473.8,42,1955,0,2.0
2026-05-31T12:23:39,11.9,0,473.8,42,1955,0,3.4
2026-05-31T12:23:41,14.2,0,473.8,42,1955,0,2.7
2026-05-31T12:23:43,16.5,0,473.8,42,1955,0,1.4
2026-05-31T12:23:46,19.1,0,473.9,42,1955,0,5.4
2026-05-31T12:23:48,21.5,0,473.9,42,1955,0,0.6
2026-05-31T12:23:50,23.8,0,473.9,42,1955,0,2.1
2026-05-31T12:23:53,26.0,0,473.9,42,1955,0,2.1
2026-05-31T12:23:55,28.3,0,473.9,42,1955,0,3.4
2026-05-31T12:23:57,30.6,0,473.9,42,1955,0,3.4
2026-05-31T12:24:00,33.0,0,474.1,43,1955,0,2.6
2026-05-31T12:24:02,35.3,0,474.1,43,1955,0,2.0
2026-05-31T12:24:04,37.6,0,474.1,43,1955,0,2.1
2026-05-31T12:24:07,40.4,0,474.3,43,1957,0,28.3
2026-05-31T12:24:09,42.7,0,494.3,57,1996,0,46.1
2026-05-31T12:24:12,45.1,0,496.1,58,2016,1,23.9
2026-05-31T12:24:14,47.5,0,496.8,58,2019,1,5.9
2026-05-31T12:24:16,49.7,0,496.8,58,2019,1,4.8
2026-05-31T12:24:19,52.1,0,496.8,58,2019,1,4.0
2026-05-31T12:24:21,54.4,0,496.8,58,2019,1,5.4
2026-05-31T12:24:23,56.7,0,496.8,58,2019,1,4.8
2026-05-31T12:24:26,59.0,0,496.8,58,2019,1,1.3
2026-05-31T12:24:28,61.4,0,496.8,58,2019,1,4.0
2026-05-31T12:24:30,63.7,0,496.9,58,2019,1,2.0
2026-05-31T12:24:33,66.0,0,496.9,58,2019,1,2.7
2026-05-31T12:24:35,68.4,0,496.9,58,2019,1,6.5
2026-05-31T12:24:38,70.9,0,504.3,58,2021,1,27.5
2026-05-31T12:24:40,73.7,0,504.1,52,2014,1,36.9
2026-05-31T12:24:43,76.2,0,500.6,52,2026,1,7.5
2026-05-31T12:24:45,78.6,0,500.6,52,2026,1,8.2
2026-05-31T12:24:48,80.9,0,500.6,52,2026,1,14.3
2026-05-31T12:24:50,83.3,0,501.6,52,2026,1,13.0
2026-05-31T12:24:52,85.7,0,500.6,51,2024,1,11.3
2026-05-31T12:24:55,88.0,0,500.6,51,2024,1,6.7
2026-05-31T12:24:57,90.4,0,495.6,51,2022,1,11.7
2026-05-31T12:24:59,92.8,0,495.6,51,2022,1,3.4
2026-05-31T12:25:02,95.0,0,495.7,52,2024,1,4.2
2026-05-31T12:25:04,97.2,0,495.7,52,2024,1,4.8
2026-05-31T12:25:06,99.6,0,495.7,52,2022,1,6.7
2026-05-31T12:25:09,101.9,0,495.7,52,2022,1,4.7
2026-05-31T12:25:11,104.2,0,495.7,52,2022,1,4.7
2026-05-31T12:25:13,106.5,0,495.7,52,2022,1,4.8
2026-05-31T12:25:16,108.8,0,495.7,52,2022,1,2.0
2026-05-31T12:25:18,111.2,0,495.8,52,2012,0,4.0
2026-05-31T12:25:20,113.5,0,495.8,52,2012,0,4.0
2026-05-31T12:25:22,115.8,0,495.8,52,2012,0,2.7
2026-05-31T12:25:25,118.1,0,495.8,52,2012,0,2.7
2026-05-31T12:25:27,120.5,0,495.5,44,1988,0,2.0
2026-05-31T12:25:30,122.8,0,501.7,54,2005,0,47.1
2026-05-31T12:25:32,125.1,0,506.8,59,2036,1,49.3
2026-05-31T12:25:34,127.4,0,513.1,59,2038,1,30.5
2026-05-31T12:25:36,129.7,0,509.1,53,2032,1,38.0
2026-05-31T12:25:39,132.0,0,510.7,53,2031,1,24.9
2026-05-31T12:25:41,134.8,0,515.2,58,2044,1,59.8
2026-05-31T12:25:44,137.2,0,530.4,58,2046,1,46.7
2026-05-31T12:25:46,139.7,0,530.4,52,2039,1,43.3
